Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree
PP,PP,,3,0.58,0.672414,49.266891,0.277646,0.218743,0,0.063279,0,1,0.428105,0.993724,1.26087,0.826087,2.086957,16,11,27
PT,PT,,3,0.591837,0.678161,2.159689,0.029729,0.176993,4,0.006872,0,1,0.386364,0.085957,0.086957,0.73913,0.826087,2,12,14
PROS,PROS,,4,0.508772,0.600575,21.9527,0.274133,0.142854,4,0.039137,0,1,0.477941,0.799428,1.391304,0.73913,2.130435,13,8,21
REDE,REDE,,4,0.42029,0.462644,30.021429,0.081905,0.029621,4,0.022723,0,1,0.233333,0.221369,0.304348,0.130435,0.434783,6,2,8
PTB,PTB,,3,0.617021,0.712644,25.206269,0.194589,0.249109,3,0.029949,0,1,0.444737,0.623293,0.608696,1.043478,1.652174,11,14,25
PRP,PRP,,4,0.432836,0.485632,1.392647,0.069241,0.057599,0,0.013779,0,1,0.633333,0.230285,0.217391,0.217391,0.434783,3,3,6
PSD,PSD,,3,0.644444,0.735632,72.190224,0.327389,0.273672,1,0.049948,0,1,0.391304,1,3.826087,1.652174,5.478261,19,15,34
PPS,PPS,,4,0.54717,0.635057,20.046594,0.093639,0.185555,1,0.025152,0,1,0.527273,0.338603,0.347826,0.565217,0.913043,6,10,16
PMN,PMN,,4,0.460317,0.520115,1.192052,0.064437,0.087878,1,0.01451,0,1,0.642857,0.223884,0.130435,0.434783,0.565217,3,4,7
PSL,PSL,,3,0.47541,0.54023,6.854552,0.128696,0.089469,0,0.020355,0,1,0.5,0.362166,0.521739,0.26087,0.782609,6,5,11
PATRI,PATRI,,3,0.432836,0.471264,0.75,0.17232,0.046261,3,0.025413,0,1,0.680556,0.528047,0.347826,0.086957,0.434783,8,2,10
PMB,PMB,,4,0.557692,0.652299,52.704826,0.108882,0.226357,0,0.033997,0,1,0.341667,0.317983,0.869565,0.869565,1.73913,10,10,20
PV,PV,,3,0.54717,0.62069,30.951681,0.028185,0.151393,0,0.010286,0,1,0.402778,0.095884,0.173913,0.695652,0.869565,2,8,10
DC,DC,,5,0.365854,0.401111,0,0,0.009787,0,0.00491,0,2,0,0,0,0.086957,0.086957,0,1,1
MDB,MDB,,3,0.707317,0.804598,81.795119,0.248792,0.330749,0,0.043175,0,1,0.413043,0.826331,1.521739,2.478261,4,15,19,34
PRB,PRB,,4,0.491525,0.566092,8.278361,0.217331,0.124833,3,0.03547,0,1,0.576923,0.803825,0.913043,0.521739,1.434783,11,7,18
PSOL,PSOL,,5,0.302083,0.331609,0,0.027771,0.007362,4,0.007499,0,1,1,0.084971,0.086957,0.043478,0.130435,1,1,2
PSC,PSC,,3,0.591837,0.678161,15.082149,0.129882,0.208521,1,0.021869,0,1,0.442308,0.422223,0.434783,1.043478,1.478261,6,11,17
PDT,PDT,,3,0.617021,0.712644,34.703401,0.19382,0.248358,2,0.032129,0,1,0.426901,0.571069,0.695652,1.347826,2.043478,12,14,26
DEM,DEM,,3,0.54717,0.62069,24.705782,0.254769,0.165433,1,0.047232,0,1,0.5375,0.958584,1.217391,1.391304,2.608696,14,9,23
PRTB,PRTB,,4,0.453125,0.502874,0,0.024598,0.077599,2,0.00779,0,1,1,0.093132,0.043478,0.130435,0.173913,1,3,4
AVANTE,AVANTE,,3,0.5,0.568966,8.629426,0.156816,0.121136,3,0.030439,0,1,0.429487,0.512077,0.391304,0.26087,0.652174,9,6,15
PSDB,PSDB,,2,0.659091,0.741379,80.007682,0.237031,0.2498,3,0.046366,0,1,0.45614,0.85034,1.043478,1.347826,2.391304,13,15,28
PHS,PHS,,4,0.537037,0.617816,6.373344,0.159233,0.1694,2,0.026148,0,1,0.583333,0.597195,0.565217,0.608696,1.173913,8,9,17
PC DO B,PC DO B,,4,0.483333,0.548851,1.965909,0.051123,0.08951,4,0.010867,0,1,0.392857,0.123572,0.217391,0.26087,0.478261,3,5,8
SD,SD,,4,0.557692,0.652299,44.693577,0.271682,0.183258,2,0.04343,0,1,0.416667,0.809084,1.434783,0.565217,2,14,10,24
PODE,PODE,,3,0.537037,0.614943,34.26484,0.277166,0.152192,0,0.046534,0,1,0.415205,0.847921,1.26087,0.565217,1.826087,15,8,23
PR,PR,,3,0.674419,0.770115,50.736382,0.264259,0.314769,3,0.046944,0,1,0.388095,0.865659,1.565217,1.782609,3.347826,14,16,30
PTC,PTC,,3,0.517857,0.568966,15.735294,0.060021,0.063778,0,0.015805,0,1,0.402778,0.179902,0.173913,0.217391,0.391304,4,5,9
PSB,PSB,,3,0.674419,0.770115,95.339184,0.235915,0.308964,4,0.050442,0,1,0.46732,0.924879,1.26087,2.043478,3.304348,14,17,31
PPL,PPL,,0,0,0,0,0.013608,0,0,0.006013,0,0,0,0.009788,0.043478,0,0.043478,1,0,1
NOVO,NOVO,,0,0,0,0,0,0,5,0.00491,1,3,0,0,0,0,0,0,0,0
PCB,PCB,,0,0,0,0,0,0,6,0.00491,2,4,0,0,0,0,0,0,0,0
PCO,PCO,,0,0,0,0,0,0,7,0.00491,3,5,0,0,0,0,0,0,0,0
PSTU,PSTU,,0,0,0,0,0,0,8,0.00491,4,6,0,0,0,0,0,0,0,0
