Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PPL,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009658,0,0,0,0
PRB,PRB,,1,1,2,0.333333,0.333333,0.666667,0,0,0,0,0,0,1,0.009658,1,1,0,0.129838
PC DO B,PC DO B,,1,1,2,0.333333,0.666667,1,1,1,1,0.5,0.095128,0.095783,2,0.012394,2,3,0,0.009776
PMN,PMN,,0,1,1,0,0.666667,0.666667,2,0.666667,0.75,0,0,0.239357,11,0.009658,2,5,0,0
PODE,PODE,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.009658,3,6,0,0
PSOL,PSOL,,1,1,2,0.333333,0.333333,0.666667,1,1,1,0,0.032408,0.095783,2,0.023494,2,7,0.5,0.428905
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.009658,4,8,0,0
PRP,PRP,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.239357,11,0.009658,2,9,0,0
PATRI,PATRI,,0,0,0,0,0,0,0,0,0,0,0,0,5,0.009658,5,10,0,0
PSC,PSC,,0,2,2,0,0.666667,0.666667,4,0.368421,0.511905,0,0,0,13,0.009658,2,16,0,0
PSD,PSD,,2,0,2,0.666667,0,0.666667,0,0,0,0,0.035211,0,2,0.031703,2,12,0,0.438681
NOVO,NOVO,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.009658,6,17,0,0
PTC,PTC,,0,2,2,0,0.666667,0.666667,4,0.380952,0.510417,0,0,0.260061,11,0.009658,2,19,0.5,0
PT,PT,,0,3,3,0,1.666667,1.666667,3,0.533333,0.645833,0,0,0.394868,11,0.009658,2,22,0,0
PTB,PTB,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.009658,7,23,0,0
AVANTE,AVANTE,,1,0,1,0.333333,0,0.333333,0,0,0,0,0,0,13,0.013762,2,11,0,0.009776
MDB,MDB,,2,2,4,0.666667,0.666667,1.333333,3,0.538462,0.619048,7.166667,0.211688,0.077092,11,0.015131,2,21,0.083333,0.019551
DEM,DEM,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.009658,8,24,0,0
PROS,PROS,,1,3,4,0.333333,1.333333,1.666667,2,0.666667,0.75,2.833333,0.021751,0.406095,11,0.016088,2,20,0.166667,0.061457
REDE,REDE,,6,0,6,2.333333,0,2.333333,0,0,0,0,0.339476,0,2,0.069503,2,2,0.066667,1
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.009658,9,25,0,0
PPS,PPS,,0,1,1,0,0.333333,0.333333,1,1,1,0,0,0.095783,2,0.009658,2,26,0,0
PV,PV,,0,3,3,0,1.666667,1.666667,3,0.5,0.611111,0,0,0.355399,11,0.009658,2,27,0,0
PSDB,PSDB,,3,1,4,1,0.333333,1.333333,2,0.571429,0.625,17.833333,0.199589,0.070955,13,0.029941,2,14,0,0.081008
PSL,PSL,,1,1,2,0.333333,0.333333,0.666667,1,1,1,0,0,0.239357,11,0.209323,2,4,0,0.899616
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,10,0.009658,10,28,0,0
DC,DC,,0,1,1,0,0.666667,0.666667,2,0.666667,0.75,0,0,0.239357,11,0.009658,2,29,0,0
PMB,PMB,,10,1,11,6.666667,0.333333,7,1,1,1,10,0.848334,0,11,0.235102,2,4,0.011111,0.957177
PHS,PHS,,0,0,0,0,0,0,0,0,0,0,0,0,12,0.009658,11,30,0,0
PR,PR,,1,1,2,0.333333,0.333333,0.666667,3,0.416667,0.5,5,0,0.056314,13,0.013762,2,15,0,0.009776
SD,SD,,0,3,3,0,1,1,2,0.636364,0.714286,0,0,0.337152,2,0.009658,2,31,0,0
PSB,PSB,,4,3,7,1.333333,1,2.333333,1,1,1,26.666667,0.251479,0.114862,2,0.048833,2,13,0.071429,0.328435
PRTB,PRTB,,0,1,1,0,0.333333,0.333333,1,1,1,0,0,0.009935,2,0.009658,2,32,0,0
PDT,PDT,,1,2,3,0.333333,1,1.333333,3,0.466667,0.571429,5,0.073376,0.295671,11,0.013762,2,18,0.166667,0.009776
PP,PP,,0,0,0,0,0,0,0,0,0,0,0,0,14,0.009658,12,33,0,0
